formula,target
PMnLi,26.26
AsMgNa,1550.83
N7Si4SrY,370.7
K2Ni3Se4,0.57
HfPbS3,7.24
HfO2,9.81
O3Pb2,2.62
S4TaTl3,7.47
Ca2O9PbSi3,5.96
TeCd,1956.12
K2O9Si3Zr,73.21
OPb,16.51
PbS,260.15
O2Si,22.79
AlN,1521.23
In2Se3,39.89
Mn2Se4Si,69.87
N3Na,1.48
K2O3Pb2,2.83
P4V,22.12
K2O9Si3Zr,70.98
S2PdCl6,0.04
GePbS3,1.08
K4O4Sn,35.03
CaO4Sc2,30.05
Cr2Si2Te6,0.82
Li2S4SnZn,4.56
GeO8Zr3,3.48
Hg4S6Si,715.73
NiO,9.8
CaGe2O5,641.98
Bi3In5S12,8.94
Ge2K2O7Pb2,6.32
Mg3P2,148.33
SbS2Na,9.83
N3Rb,4.77
Ba6O18W4,0.81
FeCl3,0.03
P2K2S6,0.27
Al2K6Te6,55.95
I6Au2Rb2,0.36
O4Pb3,58.2
AlLaO3,0.22
Na2O19Ti9,4.52
KLaS4Si,0.15
Na3S4Sb,5.31
RuGe,1.48
MnRb2Se2,56.07
O7Sc2Si2,7.15
AuKS,2.51
O2Si,175.62
InNa5S4,107.23
Na2O3Si,124.61
S2SbTl,2.19
Al2S4Zn,74.69
O2Si,28.39
Ca2GeO4,149.89
BaO3Si,115.81
GaKS4Sn,1.16
Sb2SnCd,1226.38
CoCu2Se4Sn,6309.58
ISbTe,5.15
O2Zr,31.08
Al2O6Rb6,74.85
BaGa4S7,19.87
GeN2Sr2,16.23
HfTe5,8.24
Al2BaTe4,40.85
CuNbRb2Se4,0.69
BaSe3,24.07
Ba3S7Zr2,80.51
O2Si,73.46
GaNa3P4Sr3,147.4
FeSi2,2.49
N6Sr,6.32
K2Pt4Se6,29.82
GeO2,3140.25
IBr,0.02
Cu2HgSe4Sn,1566.6
Ge3N4,5231.01
SZr2N2,52.16
S3Sc2,41.29
BaNa2O6Si2,107.82
NaSbLi2,81.21
Cu2FeSe4Sn,5126.97
MgS,222.72
S3TaTl,6.61
In2O3,2637.36
Se2Rb2Pd,3.41
LaP2,20.07
Ba2O4Si,120.15
O4Rb4Sn,37.63
Li2S,9.41
SZn,928.13
InRbTe2,40.06
BN,54.55
Cr2Si2Te6,0.85
CrSe,3.58
FeRbSe2,0.12
PK2Ag,39.45
AgInTe2,1949.45
Ca5Ga2N4,4.57
K2PtSe2,5.25
HfTe2,0.9
O3Ti2,9.73
Se4TiZr,0.63
AgBaSe3Y,13.63
CoK2Se2,0.18
BaFe2Se3,0.36
GaLiS2,5.47
MgS4Sc2,33.67
Na2MgSn,44.22
GeK3S3,3.54
AlLiS2,5.66
BaO3Ti,33.33
PAsB2,310.44
HgO3V,2.78
CaGa2S4,23.45
Se3Y2,37.03
SiC,188.63
S4GeCu2Fe,6.51
S2Ti,0.3
CdIn2S4,2007.02
K2CoSe2,0.99
K2S2,5.4
Rb2S,46.41
MnSe,323.6
O2PbRb2,3.67
CdGa2S4,271.93
AsLa,125.86
Mg2Ge,83.76
OSr,38.45
Cr2Se4V,1.26
BaO9Si4,153.35
Cs4S14Zr3,1.49
Cd6Sb12Sr11,11.1
O7Sc2Si2,7.16
NaS2Fe,1.0
GaN,4364.07
Ca2O4Sn,448.25
AgLa3Se7Sn,6.67
O4SnSr2,248.54
AsK3,296.97
AsMnRb,182.83
PSi,0.64
Mg2O4Si,809.33
KNaTe,112.03
AuK2P,19.28
